Rk,Team,Conf,AdjOE,AdjDE,Barthag,Ret Mins,RPMs,Talent,Exp.,Trans.
Rk,Team,Conf,AdjOE,AdjDE,Barthag,Ret Mins,RPMs,Talent,Exp.,Trans.
201,Georgia Southern,SB,103,106.7,0.3997,14.00%,17.90%,9.1,2.42,282
,,,183,237,,,,,,
202,Sacred Heart,MAAC,104.4,108.1,0.3991,56.50%,49.80%,0,2.04,108
,,,148,282,,,,,,
203,Youngstown St.,Horz,100.8,104.5,0.3981,23.90%,23.50%,5.2,2.82,274
,,,231,175,,,,,,
204,Wright St.,Horz,102.2,106.1,0.3951,40.50%,30.40%,2.4,2.01,142
,,,204,221,,,,,,
205,Marshall,SB,99.9,103.7,0.393,13.40%,8.70%,8.7,2.11,133
,,,255,152,,,,,,
206,UT Arlington,WAC,102.3,106.3,0.3925,14.20%,16.50%,23.4,1.84,264
,,,203,226,,,,,,
207,Texas A&M Corpus Chris,Slnd,98.6,102.5,0.3912,23.80%,13.80%,1.8,2.5,153
,,,288,135,,,,,,
208,Evansville,MVC,100.1,104,0.3905,32.90%,28.60%,28.4,2.01,177
,,,248,160,,,,,,
209,San Jose St.,MWC,101,105,0.3876,11.50%,7.60%,24.9,1.58,171
,,,229,190,,,,,,
210,Montana St.,BSky,101,105.2,0.3843,21.30%,19.30%,16,2.15,186
,,,228,199,,,,,,
211,Quinnipiac,MAAC,100.5,104.9,0.379,33.50%,39.40%,12.9,1.6,128
,,,238,184,,,,,,
212,Charlotte,Amer,102.9,107.5,0.3771,4.00%,4.10%,26,2.53,363
,,,186,257,,,,,,
213,Ball St.,MAC,103.4,108.2,0.3731,10.80%,6.60%,11.8,2.32,398
,,,168,285,,,,,,
214,Northeastern,CAA,101.6,106.3,0.373,46.60%,37.90%,0,2.16,82
,,,215,225,,,,,,
215,Bowling Green,MAC,99.9,104.6,0.3696,26.90%,23.40%,10.1,2.4,174
,,,257,178,,,,,,
216,Longwood,BSth,102.5,107.4,0.3695,36.50%,29.40%,34.9,2.25,216
